tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.0421486, 0.0458664, 0.0485998
tmfreqs:, 2, 0, 0.1, 0, 0.0104973, 0.00503573, 0.041677, 0.0455342, 0.0458079
tmfreqs:, 3, 0, 0.2, 0, 0.0209946, 0.0100441, 0.0397205, 0.0426402, 0.0447651
tmfreqs:, 4, 0, 0.3, 0, 0.0314918, 0.0149721, 0.0357096, 0.0412631, 0.0439547
tmfreqs:, 5, 0, 0.4, 0, 0.0419891, 0.0196251, 0.0313235, 0.0406028, 0.0433772
tmfreqs:, 6, 0, 0.5, 0, 0.0524864, 0.0224493, 0.0285684, 0.0403855, 0.0431709
tmfreqs:, 7, -0.0666667, 0.466667, 0, 0.0528351, 0.0225917, 0.0287569, 0.0389048, 0.0446059
tmfreqs:, 8, -0.133333, 0.433333, 0, 0.0538678, 0.023011, 0.0293147, 0.0365261, 0.0468494
tmfreqs:, 9, -0.2, 0.4, 0, 0.0555464, 0.0236821, 0.0302206, 0.0340076, 0.0491498
tmfreqs:, 10, -0.266667, 0.366667, 0, 0.0578145, 0.0245519, 0.0314431, 0.0314592, 0.051418
tmfreqs:, 11, -0.333333, 0.333333, 0, 0.0606061, 0.0254382, 0.0290543, 0.0329447, 0.0535813
tmfreqs:, 12, -0.266667, 0.266667, 0, 0.0484848, 0.0224287, 0.0314711, 0.0340173, 0.0515022
tmfreqs:, 13, -0.2, 0.2, 0, 0.0363636, 0.0172269, 0.0346176, 0.0374873, 0.0496
tmfreqs:, 14, -0.133333, 0.133333, 0, 0.0242424, 0.0115838, 0.0379632, 0.0414996, 0.0479925
tmfreqs:, 15, -0.0666667, 0.0666667, 0, 0.0121212, 0.00581321, 0.0408353, 0.0454153, 0.0468543
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.0421486, 0.0458664, 0.0485998
